Muhurta Type,Date,Day,Month,Paksha,Tithi,Nakshatra,Lagna,Time (From - To),Panchanga,,,
Vivaha (Marriage),4/26/2026,Sunday,Vaishakha,Shukla,Dashami,Makha,Vrushabha,7:16 AM-8:20 AM,OKPL,,,
Vivaha (Marriage),4/29/2026,Wednesday,Vaishakha,Shukla,Trayodashi,Hasta,Vrushabha,7:28 AM-7:38 AM,OKPL,,,
Vivaha (Marriage),4/29/2026,Wednesday,Vaishakha,Shukla,Trayodashi,Hasta,Mithuna,10:21AM-10:46AM,OKPL,,,
Vivaha (Marriage),2/11/2027,Thursday,Magha,Shukla,Panchami,Revathi,Mesha,11:11AM - 12:09AM,OKPL,,,
Vivaha (Marriage),2/25/2027,Thursday,Magha,Krishna,Panchami,Chithe(Swathi),Vrushabha,11:28 AM - 1:17 AM,OKPL,,,
Vivaha (Marriage),3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revathi,Mesha,8:44 AM-9:30 AM,OKPL,,,
Vivaha (Marriage),3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revathi,Vrushabha,11:5 AM - 11:20 AM,OKPL,,,
Vivaha (Marriage),3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revathi(Aswini),Vrushabha,11:21 AM - 12:21 AM,OKPL,,,
Vivaha (Marriage),3/25/2027,Thursday,Phalguna,Krishna,Tritiya,Swati,Vrushabha,10:59 AM-11:24 AM,OKPL,,,
Vivaha (Marriage),3/29/2027,Monday,Phalguna,Krishna,Sapthami,Moola,Mesha,7:32 AM-7:52AM,OKPL,,,
Vivaha (Marriage),4/1/2027,Thursday,Phalguna,Krishna,Dashami,Uttarashada,Mesha,7:52 AM-8:55 AM,OKPL,,,
Gruhapravesha (Housewarming),2/8/2027,Monday,Magha,Shukla,Dwitiya,Shatbisha,Vrushabha,12:38 PM-2:00 PM,OKPL,,,
Gruhapravesha (Housewarming),2/11/2027,Thursday,Magha,Shukla,Panchami,Revathi,Vrushabha,12:22PM-2:05PM,OKPL,,,
Gruhapravesha (Housewarming),3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revathi,Vrushabha,11:05 AM-11:20 AM,OKPL,,,
